trial_index,arm_name,trial_status,generation_method,is_feasible,charge_throughput,sei_growth,total_lli,C1,C2,C3
0,0_0,COMPLETED,Manual,True,0.08992021910868452,58.22097913642907,0.014063969530886438,3.0,0.0,3.0
1,1_0,COMPLETED,Manual,True,0.03020833333333333,59.766679174574875,0.0021473412085121846,0.91,0.0,0.54
2,2_0,COMPLETED,Manual,True,0.08333333333333331,64.75880778164756,0.005126543058822218,2.0,0.0,2.0
3,3_0,COMPLETED,Manual,True,0.062499999999999986,65.73123781712509,0.004966883034450191,1.5,1.5,1.5
4,4_0,COMPLETED,Sobol,True,0.039277145018180214,58.7029391984052,0.0034077951226220145,0.21456100791692734,2.4382156133651733,0.17517782002687454
5,5_0,COMPLETED,Sobol,True,0.06105570837514451,57.612506912627595,0.01830888784305474,2.5119928121566772,2.178564727306366,0.9562017917633057
6,6_0,COMPLETED,Sobol,True,0.05402136211535783,61.803762737867025,0.014955645055040183,0.7453389298170805,0.4983211141079664,2.8092098962515593
7,7_0,COMPLETED,Sobol,True,0.05797860887832938,63.74471564790578,0.007919876237553955,0.7606698861345649,2.664462718181312,0.7493272349238396
8,8_0,COMPLETED,Sobol,True,0.06692942678152272,66.16466427038053,0.0065347274456311714,1.9823188791051507,1.3152735102921724,1.5213263388723135
9,9_0,COMPLETED,Sobol,True,0.05916059374493757,58.58608253624159,0.016389078227063574,1.5729899145662785,2.5420828666538,2.5358606055378914
10,10_0,COMPLETED,Sobol,True,0.04716823222891736,65.1597932309522,0.0031243377984086756,1.312271436676383,0.8854123642668128,1.1984289195388556
11,11_0,COMPLETED,Sobol,True,0.05353515203266092,59.04992860953876,0.00496226118776252,0.19373612757772207,1.5273655001074076,2.133429318666458
12,12_0,COMPLETED,Sobol,True,0.04470723766523103,64.80254959437954,0.010039339653889853,2.9213229501619935,0.20175002049654722,0.09584814123809338
13,13_0,COMPLETED,Sobol,True,0.03773709631059315,50.02033063042347,0.004637756719090682,2.7170709343627095,2.817022061906755,2.04865500703454
14,14_0,COMPLETED,BoTorch,True,0.04166666666666664,57.02603816910537,0.013973712186318465,3.0,0.0,2.1641691181147897
15,15_0,COMPLETED,BoTorch,True,0.040441222140752686,49.85741219146855,0.009149958827481399,2.9117679941341956,2.7575074358888068,2.8939683230650766
16,16_0,COMPLETED,BoTorch,True,0.04166666666666664,49.50587936266853,0.013710121637028,3.0,1.7820929821520786,3.0
17,17_0,COMPLETED,BoTorch,True,0.04166666666666664,49.50587936266853,0.013710121637028,3.0,3.0,1.5499163170389263
18,18_0,COMPLETED,BoTorch,True,0.048877865763195354,53.07173812949436,0.014102098291194017,2.426301917350721,3.0,2.492651668421743
19,19_0,COMPLETED,BoTorch,True,0.04166666666666664,49.50587936266853,0.013710121637028,3.0,2.216843844594539,2.2918641786353
20,20_0,COMPLETED,BoTorch,False,0.00816934591758926,49.62838969065091,0.001761174055472331,0.0,0.5881929060664275,0.0
21,21_0,COMPLETED,BoTorch,True,0.050038691241808805,58.0258691041474,0.014008757454928984,3.0,0.6027857694102335,2.7972504882486646
22,22_0,COMPLETED,BoTorch,True,0.04166666666666664,49.50587936266853,0.013710121637028,3.0,3.0,0.49579700002070903
23,23_0,COMPLETED,BoTorch,True,0.022332703196002533,51.67218148735544,0.0019771006798691405,0.0,0.35110504680162086,1.2568495833105626
24,24_0,COMPLETED,BoTorch,True,0.0615899690690434,58.356363726150974,0.01752656836168158,2.1619515899920683,2.3455299697536085,1.9374480527677769
25,25_0,COMPLETED,BoTorch,True,0.038709122878125224,58.09591321356105,0.0026524027261731553,0.0,1.5729273785484095,1.2141294686766084
26,26_0,COMPLETED,BoTorch,True,0.04166666666666664,49.50587936266853,0.013710121637028,3.0,2.002435394370579,1.86957685031004
27,27_0,COMPLETED,BoTorch,True,0.04974705297945738,55.39228079567972,0.013965651590863394,1.4291027742440736,3.0,3.0
28,28_0,COMPLETED,BoTorch,True,0.0505761188802125,53.13300172100321,0.01638509921870602,2.7881953337659158,2.395736300172819,0.9726999313120146
29,29_0,COMPLETED,BoTorch,True,0.09134720907355967,59.72376310163527,0.014935131192001704,2.752583115462773,0.0,3.0
30,30_0,COMPLETED,BoTorch,True,0.053689957001576055,54.425240131567456,0.01685022877024734,2.6697651258198043,2.400492068615294,0.9125857038542609
31,31_0,COMPLETED,BoTorch,True,0.09090936436355226,59.99122236433208,0.014604175966946973,2.662968249342335,0.0,3.0
32,32_0,COMPLETED,BoTorch,True,0.04028495770674142,50.02610792129863,0.008963644620169135,0.0,0.0,2.900516954885386
33,33_0,COMPLETED,BoTorch,True,0.05282756806344524,54.0825198660772,0.01658162809254215,2.6682507169569067,2.462918293308254,3.0
34,34_0,COMPLETED,BoTorch,True,0.05026188963100332,55.03283020716648,0.013889528124606618,1.7394869533460786,3.0,0.7803082146215212
35,35_0,COMPLETED,BoTorch,True,0.04217880254820476,49.70732631872803,0.013947746094283663,0.08580312008175157,3.0,3.0
36,36_0,COMPLETED,BoTorch,True,0.041578154942930524,49.53500739110272,0.013937974830248091,0.0,3.0,1.5191698462579684
37,37_0,COMPLETED,BoTorch,True,0.027045004817970494,49.88404564257316,0.0021457922075779285,0.0,0.0,1.9472403468938788
38,38_0,COMPLETED,BoTorch,True,0.06268458251473837,63.63175037884551,0.002953343349961997,1.440385333942246,0.0,1.5684746267651952
39,39_0,COMPLETED,BoTorch,True,0.03911124129802835,56.583793181785516,0.0028361617295816267,0.0,0.9112765904637529,1.9047327829942908
40,40_0,COMPLETED,BoTorch,True,0.041578154942930524,49.53500739110272,0.013937974830248091,0.0,3.0,0.0
41,41_0,COMPLETED,BoTorch,True,0.05010250847135832,54.14118254186121,0.014022240981471843,2.1267167163102343,3.0,3.0
42,42_0,COMPLETED,BoTorch,True,0.08901634760682084,64.52651565646046,0.012566760881484191,1.8075061923006217,0.0,2.4652784928267795
43,43_0,COMPLETED,BoTorch,True,0.05553870128595014,56.47773157688592,0.015602923890822629,0.0,1.9781820273073596,2.684503493554399
44,44_0,COMPLETED,BoTorch,True,0.022264176491204678,62.51757752980721,0.002401072159447981,1.6030207073667375,0.0,0.0
45,45_0,COMPLETED,BoTorch,True,0.07145837785771669,64.12393950897996,0.0034463973617444993,1.6016288477840028,0.0,1.8283732893863986
46,46_0,COMPLETED,BoTorch,True,0.041578154942930524,49.53500739110272,0.013937974830248091,0.0,3.0,0.7516313342628413
47,47_0,COMPLETED,BoTorch,True,0.036639446271660076,61.23072168229586,0.002612619373229301,0.5016430481048118,0.9633304229848592,1.1730666604698554
48,48_0,COMPLETED,BoTorch,True,0.04166666666666664,49.50587936266853,0.013710121637028,3.0,2.05480823202539,0.0
49,49_0,COMPLETED,BoTorch,True,0.08939580844583637,61.01438269612177,0.014108045466791608,2.316054397565065,0.0,3.0
50,50_0,COMPLETED,BoTorch,True,0.05168026180795701,61.064468683822255,0.0026005088809843437,0.9792199833905672,0.0,1.5014325833913706
51,51_0,COMPLETED,BoTorch,True,0.039799213528781505,54.99469378741796,0.0022069390820393764,0.42080270261135466,0.0,1.4895595467701581
52,52_0,COMPLETED,BoTorch,True,0.04166666666666664,49.50587936266853,0.013710121637028,3.0,1.9934689348947812,0.9065123433181838
53,53_0,COMPLETED,BoTorch,True,0.052202042692798,58.55624684214468,0.004201976060511132,0.0,1.9169680743756143,1.841578999505844
54,54_0,COMPLETED,BoTorch,True,0.050274271109092154,54.95706975118053,0.013886836080784566,1.7803047424791572,3.0,2.104135778847932
55,55_0,COMPLETED,BoTorch,True,0.03172395935991337,51.60149626717424,0.0019534755292521604,0.26241414111025074,0.0,1.2603359081655914
56,56_0,COMPLETED,BoTorch,True,0.04166666666666664,49.50587936266853,0.013710121637028,3.0,3.0,3.0
57,57_0,COMPLETED,BoTorch,True,0.049554242637450584,53.581861819124796,0.014056420485154457,2.2955683063681946,3.0,0.0
58,58_0,COMPLETED,BoTorch,True,0.04341712809066013,58.84259255747395,0.0023797690762544575,0.6572912191346967,0.0,1.4267309292169905
59,59_0,COMPLETED,BoTorch,True,0.06355790675678064,61.44265690140547,0.003203087497516234,1.0228845424328468,0.0,2.027894981892624
60,60_0,COMPLETED,BoTorch,True,0.053392703664940463,56.45507180454244,0.0027517080641831218,0.4856050020618122,0.0,2.0772447738553317
61,61_0,COMPLETED,BoTorch,False,0.0,40.2486105995533,0.0014324015938150874,0.0,0.0,0.0
62,62_0,COMPLETED,BoTorch,True,0.05766740216447811,60.103319424387514,0.002922868922704253,0.8116542898099369,0.0,1.9563810140850126
63,63_0,COMPLETED,BoTorch,True,0.05150432550697782,51.9744845911812,0.0026804654535798177,0.24688993128351192,0.0,2.225317693051424
64,64_0,COMPLETED,BoTorch,True,0.05966435012764551,58.31645780383876,0.01654488982915017,1.807327502332168,2.504174028289281,0.0
65,65_0,COMPLETED,BoTorch,True,0.020391297356835227,49.316642974208925,0.0018852646997401354,0.0,0.0,1.4681734096921382
66,66_0,COMPLETED,BoTorch,True,0.04649634352405285,58.36483246925701,0.0032611379791888965,0.0,1.730287872305367,1.6174488614264406
67,67_0,COMPLETED,BoTorch,True,0.03218718386042094,54.78333192659207,0.0024378078790775557,0.31800358181727445,0.15101059680908532,1.8484630593239495
68,68_0,COMPLETED,BoTorch,True,0.04166666666666664,49.50587936266853,0.013710121637028,3.0,2.7124865692807134,1.7969234147856714
69,69_0,COMPLETED,BoTorch,True,0.06176513483493105,55.62536073774712,0.004038798923346584,0.4370838258220008,0.0,2.527642646254691
70,70_0,COMPLETED,BoTorch,False,0.01923466911665981,48.026982852220584,0.0017118303099077814,0.06411586711290519,0.0,0.8591482504867662
71,71_0,COMPLETED,BoTorch,True,0.06618208116764002,59.09964744093687,0.004605445868116374,0.6610581413998662,0.0,2.5156817546468546
72,72_0,COMPLETED,BoTorch,True,0.044776370132256785,57.530036435634244,0.013991377927606014,3.0,0.22389864952248975,3.0
73,73_0,COMPLETED,BoTorch,True,0.05132838414695579,53.55483828114732,0.01663478485037841,0.0,2.7831006586281806,2.3226503108131995
74,74_0,FAILED,BoTorch,,,,,3.0,1.641297832407141,0.0
75,75_0,COMPLETED,BoTorch,True,0.03636065329693923,58.24637295365808,0.0025394640092166842,0.0,2.060347252557549,0.5576197848220786
76,76_0,COMPLETED,BoTorch,True,0.0858141550776112,61.564166862238196,0.013884223255033568,1.8858514376272626,0.0,3.0
77,77_0,COMPLETED,BoTorch,True,0.07696100681122635,61.82456512350636,0.008128639077135026,1.077954090629063,0.0,2.6161742363098024
78,78_0,COMPLETED,BoTorch,True,0.06780787192499693,53.44272110033098,0.014032607921844752,0.374205443600445,0.0,3.0
79,79_0,COMPLETED,BoTorch,True,0.0654347402009206,50.786883435671584,0.013977428470370507,0.211835961579083,0.0,3.0
80,80_0,COMPLETED,BoTorch,True,0.03335802251772885,63.30688839407185,0.0025481425847835386,1.0694949559933262,0.29253953820036205,1.0397431270827895
81,81_0,COMPLETED,BoTorch,True,0.04166666666666664,49.50587936266853,0.013710121637028,3.0,1.5798305281388079,0.0
82,82_0,COMPLETED,BoTorch,True,0.05169688050573686,50.25796375251237,0.002967480063896523,0.02526023377163596,0.0,2.4561900305037345
83,83_0,COMPLETED,BoTorch,True,0.07014459393187884,56.502557045068194,0.014076747193903616,0.5379196538243619,0.0,3.0
84,84_0,COMPLETED,BoTorch,True,0.059669110411149924,51.79931690801956,0.004408980279053085,0.23308649487432598,0.0,2.6310308048608726
85,85_0,COMPLETED,BoTorch,True,0.07452033836757485,63.25652733571422,0.004275906408183917,1.329548360481139,0.0,2.247427881162454
86,86_0,COMPLETED,BoTorch,True,0.0873834415215301,63.351172590539974,0.015222585260982222,1.6946294873884937,0.0,2.720738537619766
87,87_0,COMPLETED,BoTorch,True,0.02870067047493706,57.848407939494834,0.00231363795219514,0.11350047805348776,1.696548321832401,0.25639947430957954
88,88_0,COMPLETED,BoTorch,True,0.04840908850249784,63.382030142379406,0.00340038073243525,0.7583293865882272,1.0401767425803292,1.6869482430112892
89,89_0,COMPLETED,BoTorch,True,0.0808271612122364,63.88886838786951,0.006376705643390345,1.4969168076709933,0.0,2.3827869305163554
90,90_0,COMPLETED,BoTorch,True,0.04166666666666664,49.50587936266853,0.013710121637028,3.0,3.0,2.2338110720838906
91,91_0,COMPLETED,BoTorch,True,0.07077902019622122,60.11775196483413,0.0062362557430328935,0.8045003911426647,0.0,2.592892578275954
92,92_0,COMPLETED,BoTorch,True,0.0696551740937428,62.390711153111454,0.0036855861255222075,1.1709931763690078,0.0,2.172455180130649
93,93_0,COMPLETED,BoTorch,True,0.0463340965116818,50.97517794830783,0.0023643389173230982,0.17155572517784748,0.0,2.05248090738288
94,94_0,COMPLETED,BoTorch,True,0.06151707579530862,58.22311673980791,0.003522732603921131,0.5821844325652933,0.0,2.3706352056095206
95,95_0,COMPLETED,BoTorch,True,0.06391132586068754,49.99494488179812,0.013952930012801505,0.10566524181309025,0.0,3.0
96,96_0,COMPLETED,BoTorch,True,0.05650031509373076,53.45478759229784,0.0031378462342547386,0.3333700262753611,0.0,2.378645098223716
97,97_0,COMPLETED,BoTorch,True,0.0678076257767598,56.47420319369256,0.008188318519747051,0.4835397020594629,0.0,2.7712263352250086
98,98_0,COMPLETED,BoTorch,True,0.041702003989717504,60.691669341015995,0.002790228456132545,0.3980652543503017,1.6029151266024277,1.001563906306932
99,99_0,COMPLETED,BoTorch,True,0.04441938015184404,51.807388463572146,0.014009020063530466,0.4096221010727091,3.0,3.0
100,100_0,COMPLETED,BoTorch,True,0.07377348895840619,59.099594664921725,0.014283787912469809,0.6874817218793556,0.0,2.853645748124143
101,101_0,COMPLETED,BoTorch,True,0.04166666666666664,49.50587936266853,0.013710121637028,3.0,1.7174490251489924,1.3180657636418167
102,102_0,COMPLETED,BoTorch,True,0.04166666666666664,49.50587936266853,0.013710121637028,3.0,1.7908136999589392,0.0
103,103_0,COMPLETED,BoTorch,True,0.057524700331838804,56.41334446059955,0.0031022667279208237,0.481453819911728,0.0,2.2797317960165366
104,104_0,COMPLETED,BoTorch,True,0.06473235860596653,53.40968540053112,0.007417949999627713,0.3290737696338837,0.0,2.778079443452512
105,105_0,COMPLETED,BoTorch,True,0.04166666666666664,49.50587936266853,0.013710121637028,3.0,3.0,0.0
106,106_0,COMPLETED,BoTorch,True,0.08743670185586934,62.548428252600885,0.014803115842416942,1.865761445918743,0.0,2.8170318430056627
107,107_0,COMPLETED,BoTorch,True,0.05611501578066026,50.726612721159746,0.003617306386933153,0.1239597102300512,0.0,2.569561047241643
108,108_0,COMPLETED,BoTorch,True,0.06611624624427201,61.161115040856195,0.0035148895517917275,0.9766979167066224,0.0,2.196881903018434
109,109_0,COMPLETED,BoTorch,True,0.04492959393050519,50.94112870812074,0.01421821361863096,2.8375445133327446,3.0,1.5107598316640738
110,110_0,COMPLETED,BoTorch,True,0.03023768179127483,50.03487507481214,0.0023875558243320934,0.0,0.0,2.177113088971791
111,111_0,COMPLETED,BoTorch,True,0.04166666666666664,49.50587936266853,0.013710121637028,3.0,2.777654294194997,2.4241762098259048
112,112_0,COMPLETED,BoTorch,False,0.01770003100735273,48.9131383539717,0.0018081354605891092,0.0,0.0,1.2744022325293987
113,113_0,COMPLETED,BoTorch,True,0.06665288051567425,51.87718669192517,0.014003333761609615,0.2947048106494814,0.0,3.0
114,114_0,COMPLETED,BoTorch,True,0.04166666666666664,49.50587936266853,0.013710121637028,3.0,1.6690515247521314,0.5380283080288901
115,115_0,COMPLETED,BoTorch,True,0.05143776729033388,65.5660792689498,0.0034780612577967897,2.1195958033450464,0.2869429951884824,1.2969804463705115
116,116_0,COMPLETED,BoTorch,True,0.054991489011449395,61.42150171451185,0.013903727578806056,2.3085322933150647,0.39930726290343455,3.0
117,117_0,FAILED,BoTorch,,,,,3.0,1.0906340343862657,1.2848632343654638
118,118_0,COMPLETED,BoTorch,True,0.06892843554196819,54.97471849924721,0.014062034083354076,0.4534148344720264,0.0,3.0
