protocol,c_rates,step_durations,degradation,sei_model,success,failure_type,error_msg,warning_count,warning_sample,elapsed_s,solver_level,approximate
3C-rest-3C,"[3.0, 0.0, 3.0]","[10.0, 10.0, 10.0]",plating_SEI_sd,solvent-diffusion limited,True,SUCCESS,,0,,11.65,,
3C-rest-rest-3C,"[3.0, 0.0, 0.0, 3.0]","[7.5, 7.5, 7.5, 7.5]",plating_only,ec reaction limited,True,SUCCESS,,0,,6.3,,
3C-rest-rest-3C,"[3.0, 0.0, 0.0, 3.0]","[7.5, 7.5, 7.5, 7.5]",SEI_ec,ec reaction limited,True,SUCCESS,,0,,10.65,,
3C-rest-rest-3C,"[3.0, 0.0, 0.0, 3.0]","[7.5, 7.5, 7.5, 7.5]",SEI_solvent,solvent-diffusion limited,True,SUCCESS,,0,,11.52,,
3C-rest-rest-3C,"[3.0, 0.0, 0.0, 3.0]","[7.5, 7.5, 7.5, 7.5]",plating_SEI_ec,ec reaction limited,True,SUCCESS,,0,,15.08,,
3C-rest-rest-3C,"[3.0, 0.0, 0.0, 3.0]","[7.5, 7.5, 7.5, 7.5]",plating_SEI_sd,solvent-diffusion limited,True,SUCCESS,,0,,14.06,,
2C_30min,[2.0],[30.0],plating_only,ec reaction limited,True,SUCCESS,,0,,4.1,,
2C_30min,[2.0],[30.0],SEI_ec,ec reaction limited,True,SUCCESS,,0,,8.2,,
2C_30min,[2.0],[30.0],SEI_solvent,solvent-diffusion limited,True,SUCCESS,,0,,7.7,,
2C_30min,[2.0],[30.0],plating_SEI_ec,ec reaction limited,True,SUCCESS,,0,,9.48,,
2C_30min,[2.0],[30.0],plating_SEI_sd,solvent-diffusion limited,True,SUCCESS,,0,,7.78,,
