protocol,c_rates,step_durations,degradation,sei_model,success,failure_type,error_msg,warning_count,warning_sample,elapsed_s,solver_level,approximate
3C-rest-3C,"[3.0, 0.0, 3.0]","[10.0, 10.0, 10.0]",plating_SEI_ec,ec reaction limited,True,SUCCESS,,0,,18.47,0,False
3C-rest-3C,"[3.0, 0.0, 3.0]","[10.0, 10.0, 10.0]",plating_SEI_sd,solvent-diffusion limited,True,SUCCESS,,0,,11.35,0,False
3C-rest-rest-3C,"[3.0, 0.0, 0.0, 3.0]","[7.5, 7.5, 7.5, 7.5]",plating_only,ec reaction limited,True,SUCCESS,,0,,6.76,0,False
3C-rest-rest-3C,"[3.0, 0.0, 0.0, 3.0]","[7.5, 7.5, 7.5, 7.5]",SEI_ec,ec reaction limited,True,SUCCESS,,0,,10.42,0,False
3C-rest-rest-3C,"[3.0, 0.0, 0.0, 3.0]","[7.5, 7.5, 7.5, 7.5]",SEI_solvent,solvent-diffusion limited,True,SUCCESS,,0,,12.11,0,False
3C-rest-rest-3C,"[3.0, 0.0, 0.0, 3.0]","[7.5, 7.5, 7.5, 7.5]",plating_SEI_ec,ec reaction limited,True,SUCCESS,,0,,17.05,0,False
3C-rest-rest-3C,"[3.0, 0.0, 0.0, 3.0]","[7.5, 7.5, 7.5, 7.5]",plating_SEI_sd,solvent-diffusion limited,True,SUCCESS,,0,,17.07,0,False
2C_30min,[2.0],[30.0],plating_only,ec reaction limited,True,SUCCESS,,0,,6.37,0,False
2C_30min,[2.0],[30.0],SEI_ec,ec reaction limited,True,SUCCESS,,0,,11.58,0,False
2C_30min,[2.0],[30.0],SEI_solvent,solvent-diffusion limited,True,SUCCESS,,0,,10.1,0,False
2C_30min,[2.0],[30.0],plating_SEI_ec,ec reaction limited,True,SUCCESS,,0,,12.29,0,False
2C_30min,[2.0],[30.0],plating_SEI_sd,solvent-diffusion limited,True,SUCCESS,,0,,9.9,0,False
