trial_index,C1,C2,C3,charge_throughput,total_lli,sei_growth
49,2.316054397565065,0.0,3.0,0.09186375690380982,0.014113528071925835,60.98535982659655
31,2.662968249342335,0.0,3.0,0.09132759750456923,0.014811114997323065,60.032392969362064
29,2.752583115462773,0.0,3.0,0.09030487530260017,0.014842969325881503,59.746995541213956
146,2.887253270288672,0.0,3.0,0.08800062785398476,0.014680552374094638,59.095456547056166
76,1.8858514376272626,0.0,3.0,0.08755621066620992,0.013864204807470658,61.547161288416575
42,1.8075061923006217,0.0,2.4652784928267795,0.08748927323472472,0.012383846385851617,64.22074283346174
0,3.0,0.0,3.0,0.08537911652544972,0.014332559793255692,58.22357864528233
134,1.8271741385754072,0.0,2.23156196609068,0.0849417488656525,0.006731740969696442,64.63969226154548
89,1.4969168076709933,0.0,2.3827869305163554,0.08123134897889825,0.0066583268852532535,63.94451585993785
2,2.0,0.0,2.0,0.08038446899650777,0.005150340174651563,64.7729991424106
121,1.3561515327867706,0.0,2.5699218297216935,0.07980698984858912,0.009311859616678452,63.3307053210346
149,1.742654675316054,0.0,1.9514531216463749,0.07847516341020416,0.003962140078671034,64.46438705335585
135,1.2735948693614798,0.0,2.38310115320179,0.07602337458735493,0.005033609310787067,63.01684596883744
85,1.329548360481139,0.0,2.247427881162454,0.07531325339076811,0.004180273382360402,63.345053051511556
77,1.077954090629063,0.0,2.6161742363098024,0.07499079324837414,0.008321595082324822,61.78045319406725
45,1.6016288477840028,0.0,1.8283732893863986,0.07298152470340469,0.003466173766029211,64.13064865117667
100,0.6874817218793556,0.0,2.853645748124143,0.0727229763722133,0.01393976223729413,59.040806867961706
83,0.5379196538243619,0.0,3.0,0.07207541880333379,0.014265816034033759,56.57841326858968
91,0.8045003911426647,0.0,2.592892578275954,0.07074790852096915,0.006082506494295875,60.25835084182721
118,0.4534148344720264,0.0,3.0,0.07042627080626489,0.014130666353628215,55.03437764903221
92,1.1709931763690078,0.0,2.172455180130649,0.07013073353031866,0.0036949084514687897,62.35238061935726
78,0.374205443600445,0.0,3.0,0.06845786386154579,0.014029301791972364,53.50157280396794
97,0.4835397020594629,0.0,2.7712263352250086,0.06813250904036758,0.0087161918382405,56.21845220309618
71,0.6610581413998662,0.0,2.5156817546468546,0.06723613317667312,0.004513993343973079,59.11643499867849
108,0.9766979167066224,0.0,2.196881903018434,0.06650536167857064,0.0035558832901942897,61.14703252236553
113,0.2947048106494814,0.0,3.0,0.06603013124053383,0.013950691435414053,52.052207317420425
136,0.4248999419010372,0.0,2.6929735089879876,0.06537661694813993,0.005996572384390298,55.2360330782543
104,0.3290737696338837,0.0,2.778079443452512,0.06396315594707745,0.007239206642224369,53.23771433474348
59,1.0228845424328468,0.0,2.027894981892624,0.06389055471749695,0.003214046751773585,61.37260131443381
79,0.211835961579083,0.0,3.0,0.06300301963337072,0.013888080843724806,50.8295252315549
94,0.5821844325652933,0.0,2.3706352056095206,0.06284998821245033,0.0035386417503577234,58.15505795857793
69,0.4370838258220008,0.0,2.527642646254691,0.06257607302200047,0.004173454674644073,55.634323792577916
38,1.440385333942246,0.0,1.5684746267651952,0.06211366950411081,0.002936409125877462,63.58787656249744
103,0.481453819911728,0.0,2.2797317960165366,0.05847806129895096,0.0031280842251200248,56.491482016437736
95,0.10566524181309025,0.0,3.0,0.05841903530550201,0.013822880776113784,49.93718977071881
62,0.8116542898099369,0.0,1.9563810140850126,0.0582726046630425,0.002916912531974282,60.199382185793404
84,0.23308649487432598,0.0,2.6310308048608726,0.05769520418278513,0.004202963543264427,51.804857579343995
96,0.3333700262753611,0.0,2.378645098223716,0.05613498229096974,0.0031163495549285276,53.64292343163349
60,0.4856050020618122,0.0,2.0772447738553317,0.05400078325887002,0.0027499474696993124,56.47766951324904
32,0.0,0.0,2.900516954885386,0.05161615342073327,0.009099017745482984,50.05527286540858
107,0.1239597102300512,0.0,2.569561047241643,0.05155904677275143,0.00371601856097492,50.60307692203877
50,0.9792199833905672,0.0,1.5014325833913706,0.05089458757792309,0.002633189829039398,61.08850356324051
63,0.24688993128351192,0.0,2.225317693051424,0.04932291571987489,0.0026371969382350683,52.06422027541704
122,3.0,1.2696173476174188,3.0,0.04473708623590274,0.013491598083819306,49.60113246582418
82,0.02526023377163596,0.0,2.4561900305037345,0.04408798094637754,0.0029798771982372917,50.222511935545334
58,0.6572912191346967,0.0,1.4267309292169905,0.043869567668095376,0.0023573760296716727,58.762063343131345
19,3.0,2.216843844594539,2.2918641786353,0.04293334845210061,0.013723679653553231,49.53139038310745
127,3.0,1.158682761526231,0.5993981577597354,0.042885235533596966,0.013691898841769832,49.55232859734207
126,3.0,1.4981635328437009,3.0,0.04279321010804904,0.013654651903384952,49.409653910535994
81,3.0,1.5798305281388079,0.0,0.042507590663689365,0.013431654909934084,49.582927379276136
56,3.0,3.0,3.0,0.04236364036788068,0.013577461127066662,49.54222833370139
90,3.0,3.0,2.2338110720838906,0.04211099687807311,0.013606652645723851,49.510542403352844
93,0.17155572517784748,0.0,2.05248090738288,0.04206008033632649,0.0023331600968376784,50.92612587273436
15,2.9117679941341956,2.7575074358888068,2.8939683230650766,0.041776706598702654,0.009213447195169967,49.894580458221924
105,3.0,3.0,0.0,0.041729954497661134,0.013640716856825946,49.509277502615824
132,3.0,1.2674614903602814,1.0843677858807754,0.04109421282905891,0.013710523840473963,49.3976726616501
26,3.0,2.002435394370579,1.86957685031004,0.041092433472710015,0.013637053824935718,49.45871821618761
13,2.7170709343627095,2.817022061906755,2.04865500703454,0.040792672906849584,0.004783166637073492,50.09633123787286
51,0.42080270261135466,0.0,1.4895595467701581,0.03934946700263904,0.0021939515603007585,54.943291925572545
110,0.0,0.0,2.177113088971791,0.036454361230319796,0.0024138094788849424,50.08104790124045
